,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Visual artists,-0.014978725,0.114997788,-0.102708174,0.017422603,-0.022098868,0.039367093,-0.079680856,-0.156838302,-0.062321661,0.260295117,0.110324274,0.042970469,0.08770419,0.048801279,-0.00045272,-0.09907877,0.044113758,-0.001773203,-0.006694799,-0.139813823,0.089886884,0.119984015,-0.094323219,0.005026375,0.074282436,-0.007327634,-0.288714787,-0.137871396,-0.065689515,-0.151979026,0.483985502,-0.02991476,0.102281463,-0.313064729,-0.027362145,0.130740649,0.01445135,-0.012671783,-0.06642421,-0.021955198,0.097137697,0.065052127,0.02295205,-0.078340296,0.01500217,-0.026284389,0.062225545,-0.050051061,-0.08708885,0.026130282
"Musicians, singers and composers",-0.072264479,0.11904101,-0.139711909,-0.128245931,-0.038549605,0.037789884,-0.159440856,0.074365245,-0.197534834,0.242679068,0.096577897,0.059781051,0.080505265,0.160939489,0.014645279,-0.14810767,0.132541644,-0.008659643,0.05401829,-0.18319696,0.058388738,0.114334994,-0.02071452,0.138413112,0.055094412,0.068958605,-0.250771764,-0.265510992,-0.229954757,-0.107929689,0.373372787,0.01401971,0.138486285,-0.098687422,0.073110385,0.043732518,0.050878192,0.014225353,-0.083202357,0.075247685,-0.013656137,0.104644587,-0.036431918,-0.078651174,0.058178279,0.022224995,-0.089211503,-0.139127389,-0.31388221,0.018632877
Dancers and choreographers,-0.045804561,0.050482712,-0.201184874,-0.100271238,-0.019240735,0.050628215,-0.05378183,-0.0292755,-0.179699828,0.142358444,0.098273222,0.020662278,0.0357126,0.282822394,-0.030173717,-0.068494515,0.17555559,0.088776469,-0.018209479,-0.314103542,0.129524702,0.19659877,-0.063460519,0.051011073,0.00989645,0.079175663,-0.230521111,-0.194357762,-0.203451377,-0.179880212,0.183872999,0.185951241,0.027878233,-0.072711223,0.082420977,0.055637835,-0.045895297,0.076717296,-0.090796302,0.085805185,-0.1107218,0.10436428,0.111111127,-0.03850253,0.099607671,-0.101975358,0.026593206,-0.218643711,-0.277462141,0.015157853
Actors,0.009149364,0.061804065,-0.087469833,-0.107499614,0.085185436,0.138514633,-0.0545521,-0.004781284,-0.196367051,0.145122865,0.010247698,0.119164664,0.024144735,0.243194355,0.123254932,-0.049527564,0.237573559,0.055484468,-0.023825717,-0.204304526,0.105327253,0.203810807,0.04835973,0.172117876,0.040070956,-0.072624097,-0.142844165,-0.157864601,-0.140977529,-0.127455338,0.399930999,0.166077419,0.120541379,-0.228534712,0.094376196,0.120397062,-0.016489629,-0.065412009,-0.16951446,-0.101958573,-0.067246363,0.288483536,0.021607781,-0.095371229,-0.046550062,-0.125068398,-0.012758067,-0.108889622,-0.224755867,0.149606209
Religious professionals,-0.062210586,0.035876602,-0.095329284,-0.122464772,0.105808361,-0.031050524,-0.03044083,-0.109103423,-0.007423226,0.042421191,0.009965638,-0.090520851,0.079118872,0.007252663,-0.029822513,-0.037957799,0.03684203,0.03017603,0.108541425,-0.034224958,0.04900692,0.141425157,-0.054289922,0.133183762,-0.062199245,-0.182659792,-0.125112746,-0.251543213,-0.104395627,0.054345374,0.505659929,0.121224007,-0.021502647,-0.231331453,-0.053580777,0.054903476,-0.06896965,-0.006548075,-0.049978131,0.076342327,-0.03110778,-0.048546941,0.066204035,0.266857092,0.1111129,0.000887818,-0.124032224,0.070829263,-0.077406898,-0.025080668
Chemical and physical science technicians,0.018947968,0.019341423,0.024502051,0.020633935,-0.009883088,0.020111321,0.018451564,-0.07305821,0.069624372,0.036126634,0.16573994,0.002829863,0.005343097,0.053953674,-0.028145619,0.021122254,-0.025422589,0.14253779,-0.052029518,-0.078456696,0.104548717,0.096808757,0.021126467,-0.084265789,0.004404972,-0.187600898,-0.13327677,-0.121175467,0.006361786,0.009425473,0.448351621,-0.057201608,-0.042507305,-0.27785279,0.040320813,0.134832509,-0.003729154,0.104886247,0.158911119,0.070989797,0.018857544,-0.061924799,0.115047321,0.07616616,0.114858352,0.018798519,0.083868237,0.157162154,-0.065860185,0.024758999
Civil engineering technicians,-0.004726542,-0.088907517,0.034677326,-0.007393687,-0.067571783,-0.015213891,-0.045762538,-0.00592715,0.050046748,-0.122332968,0.126297272,-0.02969537,-0.020636146,0.033348482,-0.080426168,-0.077366705,-0.053899629,0.192980511,0.006529179,-0.093321002,0.145074595,0.130440938,-0.118193462,-0.094068715,-0.023188479,-0.202417079,-0.081287797,-0.2232501,-0.103913115,0.080083831,0.447926172,-0.053697558,-0.059158042,-0.168719535,0.045904044,0.124689072,-0.036616477,0.044421773,0.143563333,0.075298188,-0.053992365,-0.034427016,0.122206609,0.043420746,0.002227823,0.004122961,-0.013186395,0.093517678,-0.117789333,-0.015167144
Electrical engineering technicians,-0.021630995,-0.067053383,0.160419218,0.052207902,-0.106006031,0.024807051,-0.040771213,-0.009047779,0.040344608,-0.042812375,0.224067726,-0.018665933,0.007193088,0.101901269,-0.141386863,0.010113744,-0.109737141,0.254052972,-0.009140272,-0.163178495,0.223852318,0.072023538,-0.097439502,-0.079810019,0.037338662,-0.131826864,-0.092289532,-0.170124721,-0.045533256,0.013090325,0.418901077,-0.034917026,0.044345298,-0.174751558,0.075158237,0.166135563,0.006827202,0.146388876,0.231626652,0.132610201,0.035645886,-0.035412907,0.08500476,0.058046124,0.042834135,0.004768416,0.051918043,0.100144195,-0.074835574,-0.025191807
Electronics engineering technicians,-0.029888434,-0.113154333,0.142800707,0.092224125,-0.064225756,-0.064070505,-0.096949857,-0.08122469,0.03325136,-0.023397268,0.228326235,-0.023989985,-0.02233537,0.083054309,-0.129024071,0.036096161,-0.107527721,0.248269889,-0.01242163,-0.153166907,0.233794568,0.085793125,-0.120235117,-0.105132277,-0.014742217,-0.113956711,-0.13749061,-0.189003326,-0.102539276,-0.008057976,0.407028377,-0.015698711,0.067720263,-0.100946183,0.09216837,0.095268892,-0.041682506,0.149280517,0.183427654,0.054585147,0.025684623,-0.060205596,0.121889492,0.012197436,0.114412405,0.017627021,0.045551573,0.135903294,-0.106993273,0.019076527
Telecommunications engineering technicians,0.019935095,-0.096029839,0.14342954,0.128253429,-0.110256792,-0.042841187,-0.098585615,-0.066288346,0.070909931,-0.068088905,0.201352685,0.010750219,-0.027461812,0.11722432,-0.146985494,0.026538241,-0.083723808,0.196409117,0.020442928,-0.115204956,0.22747296,0.087887572,-0.134510475,-0.071737536,-0.001614676,-0.138569405,-0.059071234,-0.208528784,-0.12074908,0.051733808,0.411978864,-0.012499387,0.021958838,-0.084366953,0.035199804,0.05850758,-0.052461881,0.147765593,0.166743978,0.083009659,0.032557548,-0.031360197,0.137366611,0.064267817,0.015898476,0.020449273,-0.009805288,0.134279789,-0.067499068,0.015703561
Mechanical engineering technicians,0.00295352,-0.095784047,0.080264289,0.019237942,-0.101200136,0.037776611,-0.034595988,-0.029095093,0.046683978,-0.070987251,0.217448171,0.02697934,-0.011802212,0.090955893,-0.134984419,-0.004769251,-0.072282697,0.263315158,-0.041554547,-0.178666075,0.173294627,0.083773986,-0.106130771,-0.111342667,0.080688344,-0.141159177,-0.152338259,-0.182097042,-0.061659937,0.017559675,0.414660754,-0.052652838,-0.00344008,-0.157838908,0.098002026,0.176274738,0.0195592,0.155399949,0.223007969,0.108881529,0.004449803,-0.060586624,0.082456139,0.092763733,0.0660137,-0.005276907,0.106979808,0.130315491,-0.071226459,-0.025115455
Chemical engineering technicians,0.050671899,-0.076545501,0.096024673,0.049615609,-0.053359368,0.013137185,-0.021435586,-0.046412713,0.061126623,-0.009979326,0.218875567,-0.011303228,0.002623558,0.054119411,-0.115464003,0.021652128,-0.0365456,0.231830556,-0.044370672,-0.129005758,0.190389614,0.066117481,-0.016068396,-0.125721869,-0.061727863,-0.16047084,-0.117417473,-0.148032597,-0.046917045,0.006700149,0.393841859,-0.082800956,-0.038990191,-0.190873496,0.102725362,0.120588468,-0.021967502,0.124980585,0.22664174,0.10337474,0.019337625,-0.096893883,0.152976149,0.009387184,0.150561935,0.021007734,0.030554981,0.180794302,-0.088600739,-0.010173592
Mining and metallurgical technicians,-0.025738345,-0.122543618,0.067423416,0.15170607,-0.107232412,-0.035950498,-0.08163569,0.051712912,0.080985317,0.008706544,0.175429014,-0.053252868,0.087596056,0.049459764,-0.102394828,0.000466819,0.032902391,0.233836775,0.014378402,-0.144956601,0.237175441,0.0114121,-0.047900784,-0.136092528,0.001505559,-0.054050739,-0.124749603,-0.132728153,-0.01538463,0.049281337,0.304455209,-0.168573316,0.013824019,-0.067314836,0.097702624,0.066727212,-0.082411878,0.130447982,0.235616382,0.111474346,-0.082059834,-0.108853587,0.149521729,-0.019200011,0.130516137,-0.006178103,-0.069976855,0.12586726,-0.020891801,-0.069813575
Draughtspersons,-0.221696501,0.030429447,-0.132145727,0.134735268,-0.031433824,0.049642338,-0.05778939,0.070988338,-0.16457956,0.043585179,0.123692811,0.137420368,-0.088507137,0.141833472,0.111620311,-0.015343771,-0.094127621,0.113060204,-0.112706682,-0.02766945,-0.129876662,-0.076262446,-0.067205808,0.191125196,0.086090231,-0.219009173,-0.001634796,-0.070883924,-0.022397427,-0.216705449,0.257061035,0.136012397,0.071818505,0.011520409,0.126420548,0.116814864,0.095473075,0.166577839,-0.052047705,-0.119908585,0.051559695,-0.028964257,0.008799629,0.187213253,0.013725953,0.162068885,0.150730282,0.113657527,-0.007831863,0.022361469
Physical and engineering science technicians not elsewhere classified,0.04624705,0.005845996,0.03409417,-0.002221032,-0.007067926,-0.005651432,-0.047307721,-0.046080281,0.034242935,-0.027276525,0.107512129,0.010413236,-0.002615414,-0.005806476,0.008333715,0.021142983,-0.021747372,0.084186791,-0.01909086,-0.059727995,0.057307071,0.054545043,0.034277686,-0.017321555,0.022355782,-0.223383099,-0.115312076,-0.097725752,-0.011812048,-0.011182859,0.522859476,-0.045541301,0.000276916,-0.258175449,0.038807422,0.089093743,-0.008252601,0.096953962,0.04186244,0.022761294,-0.003932356,-0.062123684,0.118064343,0.096845044,0.027619432,-0.001026035,0.021812537,0.113946537,-0.035741436,0.012980659
Information and communications technology user support technicians,0.070073787,-0.040964463,0.197609618,0.11023262,-0.003186609,-0.066341671,-0.096362569,-0.112501209,0.090227481,-0.007232236,0.093921952,0.055900153,0.022983595,0.034190891,-0.084538199,0.030320012,-0.106078068,0.05177678,0.082770111,-0.095934725,0.131915827,0.055339777,-0.034474787,-0.004218285,0.049725012,-0.209398896,0.001559215,-0.151039701,-0.017635609,0.00205433,0.539233741,-0.00808858,-0.06123012,-0.19835062,-0.011733104,0.052209535,-0.041851353,0.045772402,-0.000800845,-0.003536586,0.130199785,0.003781243,0.030826044,0.076274283,0.005499085,-0.016909426,0.020859081,0.128874055,0.00064763,0.052368283
Computer network and systems technicians,0.10458411,-0.09281481,0.240520684,0.118965651,-0.096216769,-0.054496667,-0.125422417,-0.135450318,0.069644738,-0.001943313,0.13744463,0.028168894,-0.029111415,0.138079564,-0.075645658,0.040714642,-0.156263186,0.169698456,0.013418735,-0.085750005,0.117005629,0.047876706,-0.052955894,0.061938431,0.006994852,-0.174853376,-0.063279768,-0.13259039,0.005729013,-0.020781143,0.525447072,-0.021085683,0.006715422,-0.173475069,-0.013345689,0.110013013,-0.017434938,0.056808729,0.051643114,0.016805505,0.089535454,-0.008214593,0.042676635,0.140938719,0.000329014,0.026322816,0.048601667,0.086585397,-0.058543754,0.054934695
Web technicians,0.110578844,-0.096226822,0.210709977,0.047682385,-0.07366941,-0.137747409,-0.209857542,-0.084612297,0.092392402,-0.015353289,0.075001756,-0.038989505,0.045044986,0.160021229,0.030240486,-0.027966152,-0.099588642,0.10900012,0.066615605,-0.160017358,0.129782737,0.110536875,-0.022399681,0.12555095,0.0394714,-0.131234044,-0.09981884,-0.126195052,-0.068549824,-0.079126795,0.440749978,-0.025194694,-0.038644552,-0.159360286,-0.053192396,0.15002258,-0.01352619,0.037690936,0.043646584,-0.014727533,0.141178089,0.009967177,0.072906298,0.114204341,0.104919354,-0.041785738,0.042314581,0.129907365,-0.044742675,0.020634697
Information and communications technology operations technicians,0.088755857,-0.08553081,0.170420598,0.14503418,-0.041705114,-0.100246061,-0.111107642,-0.090020093,0.116175311,-0.066667026,0.110660818,0.055770974,-0.033565434,0.061012381,-0.102804517,0.043592934,-0.100121998,0.090499031,0.011483991,-0.056575101,0.199811371,0.070577375,-0.028771643,-0.048096896,-0.014814508,-0.203885869,-0.031755588,-0.154419197,0.017358381,0.00794721,0.520679051,-0.027062287,-0.034215646,-0.186209234,0.001720096,0.067585187,-0.067899021,0.05126698,0.051218226,0.068440105,0.077634719,0.002183201,0.087898608,0.037872082,0.026116079,-0.023678336,0.011016925,0.148812295,-0.040207774,0.08568175
Process control technicians not elsewhere classified,0.128898824,-0.109216944,0.066398798,-0.012956477,-0.011439497,-0.010667216,-0.048423509,0.023241008,0.037265947,-0.043814321,0.087751414,-0.013167347,-0.006663242,0.012528279,0.031999178,0.072190133,-0.001350962,0.001323163,0.038153685,-0.097847761,0.035693972,-0.003819656,0.058571377,0.00766061,-0.003136424,-0.253887852,-0.05447384,-0.043235678,0.050201389,0.001773485,0.590678269,-0.046600402,-0.073561457,-0.198882611,0.013102318,0.050609919,0.000346628,0.053939749,-0.017767822,0.014908261,-0.022376327,-0.029372432,0.100535481,0.063983945,0.001655147,-0.016933534,-0.027531244,0.089019708,-0.02815475,-0.016255336
Photographers,-0.026940666,0.027505321,0.135728147,-0.075496961,-0.033294539,-0.151054205,-0.23602973,0.025698827,-0.038545226,-0.084023047,-0.006706331,-0.099626409,-0.051305219,0.226183436,0.052772116,-0.137617028,0.019782812,-0.102401456,-0.165411709,-0.289159528,0.21125324,0.326012799,-0.019930506,0.099990119,0.084935337,-0.104021071,-0.21951207,-0.104123553,-0.082427546,-0.056021393,0.1321875,0.102594363,0.062803279,-0.288094521,-0.100191064,0.148875963,-0.043004191,0.024282166,-0.186993177,0.055539126,0.217120827,0.133445414,0.181298402,0.106974959,0.136670578,-0.258816867,-0.080297531,-0.106004396,-0.007270383,-0.172095132
Broadcasting and audio-visual technicians,-0.016548597,-0.036050553,0.077642791,0.107765851,-0.088643056,-0.043417956,-0.078569114,-0.094291053,0.053036985,0.094515129,0.142566902,0.019627761,0.076600581,0.093989511,-0.049463552,0.015529863,-0.128339224,0.14236529,-0.029683043,-0.095647137,0.182623549,0.160780777,0.003151928,0.013891111,0.049685231,-0.069001889,-0.111777176,-0.073066349,-0.049017212,-0.055958168,0.446768158,-0.047105442,0.040829357,-0.198633028,3.91E-05,0.126101882,0.068255712,-0.049482873,-0.01892561,-0.00399439,0.166534741,0.065497997,-0.041402991,0.016603405,-0.067382185,0.006373585,0.062279107,0.122544834,-0.10843241,0.040520651
Medical imaging and therapeutic equipment technicians,0.145622732,-0.050146604,0.068630098,-0.003951708,-0.079551886,0.000674496,-0.058457202,-0.091825076,0.193091786,0.044437087,0.175786626,-0.014365918,0.093651794,0.049829801,-0.096928372,0.079596877,-0.122863702,0.084768395,-0.022053098,-0.100679471,0.104025673,0.113296021,-0.055839603,-0.092439999,-0.028932958,-0.12992379,-0.094858517,-0.117761613,-0.007037444,-0.03765748,0.399356718,0.024892907,-0.048109134,-0.195168644,0.08325224,0.13299396,0.0842596,0.178297314,0.13910686,0.045199766,0.065833781,0.015661054,0.103224659,0.151149736,0.097728018,-0.017059186,0.074878194,0.14017941,-0.038110888,0.076655745
Ships' engineers,0.158068183,-0.088743739,0.169790709,-0.093716365,-0.100190673,-0.092356447,-0.184402754,0.086065953,0.037394874,-0.208224004,0.140111487,0.143564841,0.043121624,0.082596615,-0.124724281,-0.055738944,0.016671184,0.157623755,-0.19184547,-0.204865487,0.140018793,0.013494162,-0.031388211,-0.106643175,0.103762268,-0.164078672,-0.071875043,-0.154102667,0.057113743,0.032479312,0.409712202,-0.049380942,-0.051162621,-0.077880656,0.121244416,0.090154353,0.013006607,0.002334521,-0.051180923,0.112024811,0.022577302,-0.133713897,0.268774039,-0.038742488,0.01283949,-0.00424977,-0.069582119,0.031453856,-0.08626209,-0.094381421
Ships' deck officers and pilots,0.130752344,-0.042968587,0.10523468,-0.110031304,0.015290186,-0.083921843,-0.077391222,0.101543883,0.006310968,-0.23909898,0.048713506,0.087461288,0.004579856,0.147129201,-0.07368107,-0.10299291,-0.092891457,0.093946477,-0.190485513,-0.220760928,0.035180395,0.054927599,-0.024583921,-0.056110236,-0.038626021,-0.20962625,0.008452424,-0.000806177,0.085395092,-0.010682873,0.404167365,0.042155462,-0.028394327,-0.033629966,0.114174688,0.096711047,0.112915749,-0.112318483,-0.091851068,0.063123091,0.005183367,-0.039560394,0.200118694,0.053918003,-0.051565755,-0.111441166,-0.064500954,-0.018007492,-0.040073917,-0.024210042
Aircraft pilots and related associate professionals,0.081524134,-0.005798869,0.023792244,-0.013935933,0.001991778,0.008746871,-0.09241441,-0.042535283,0.032739888,-0.092604045,0.122359923,0.062987124,-0.006805878,0.067222364,0.001771433,-0.050942321,-0.074836387,0.118975439,-0.069720542,-0.100852242,0.034885073,0.078426119,-0.020125461,0.000765359,-0.069572762,-0.219132542,-0.052423924,-0.169355458,-0.055560964,0.062470517,0.449122428,0.01507087,-0.009269411,-0.154117362,0.081557617,0.001161289,-0.011023671,-0.006248256,0.00496219,0.057472218,-0.030928958,-0.015997028,0.174409623,0.106140586,0.037560257,-0.048925864,-0.057819827,0.115646279,-0.102808434,0.118046612
Air traffic controllers,0.122892934,-0.108423946,0.108473092,-0.004851605,-0.16235534,-0.146672653,-0.03274347,0.036245587,0.102325037,-0.109760575,0.149412708,0.006475407,-0.03892091,0.1242655,-0.04365672,0.015004771,-0.16929602,0.087759075,-0.175181006,-0.196196661,0.064826319,0.016308284,-0.089796444,0.039668727,0.029529341,-0.229477177,0.058322175,0.05782928,0.13776203,0.052448227,0.482561006,0.109082564,-0.018774293,-0.121424867,-0.017421003,0.024649631,0.101290609,-0.101341901,-0.026753175,0.19490109,0.021070147,0.117908677,0.100464915,0.001797071,-0.095945588,0.000517971,0.034655483,0.017632148,-0.037361171,0.050534482
Air traffic safety electronics technicians,0.004416018,-0.083547947,0.129887701,0.026867225,-0.103653451,-0.099075528,-0.098236558,-0.021872509,0.140618546,-0.095354695,0.150820939,-0.006116598,-0.038691197,0.083611903,-0.053378787,0.046588438,-0.106319044,0.115129244,-0.073317748,-0.207846809,0.132637964,0.048820315,-0.093308352,-0.053951693,-0.004186139,-0.213009591,-0.023940086,-0.009379806,0.072375913,0.015823246,0.470749175,0.066817424,0.03735659,-0.12174371,0.048368201,0.066747262,0.051075793,-0.002252602,0.054047526,0.11935943,-0.008172263,0.047642468,0.137756039,-0.015084808,0.050774011,-0.001849779,0.000216398,0.068988822,-0.034475397,0.044867641
Regulatory government associate professionals not elsewhere classified,0.045679796,-0.041728409,0.012188316,0.007971833,0.020420636,-0.033210368,-0.044330624,-0.028183002,0.016283992,-0.054941954,0.044295083,0.040333192,-0.002533787,-0.012180988,0.045494295,0.04366689,0.010621495,-0.002619023,0.084349393,-0.054491815,0.047706634,0.006927202,0.043870572,0.012464562,-0.072016368,-0.271679375,-0.035254832,-0.089145631,-0.067613352,0.032248161,0.540652487,-0.027861736,-0.015734138,-0.222013755,-0.002520255,0.002957905,-0.039546668,0.031748856,-0.004237071,-0.033371095,-0.048353074,-0.021395347,0.119750854,0.114445825,-0.002911977,-0.02639166,-0.096283906,0.1108267,-0.007829104,0.035780024
Environmental and occupational health inspectors and associates,0.011101061,0.057993574,0.034871539,0.003295326,-0.09825744,0.009998706,-0.065494005,-0.075154789,0.178108903,-0.088367711,0.033336834,0.022804257,-0.017661564,-0.018755754,0.013851545,0.011501495,0.034631888,0.010485822,0.089948791,-0.060629276,0.06431375,0.068482683,0.016908388,-0.101336799,-0.078082866,-0.217283756,-0.041238669,-0.104221325,-0.054657049,0.099116031,0.349988247,-0.002766331,-0.070029069,-0.270623877,-0.020216981,0.018598462,-0.025265202,0.017687582,0.178971678,0.050191931,-0.061751561,-0.042213536,0.1657456,0.086527672,0.090399017,-0.036614906,-0.085665052,0.176273064,0.028016263,0.099991066
Product graders and testers (excluding foods and beverages),-0.024611151,-0.11779059,-0.039709382,0.0051234,0.060269763,0.030085847,-0.093346158,-0.164688643,0.14720068,0.121788812,0.126774154,-0.037386326,0.091081794,-0.080093473,0.066694847,0.026025371,-0.146707087,0.033945224,0.039093126,-0.155763203,0.088887569,-0.086345636,0.124772451,0.072422701,-0.097875116,-0.059035056,-0.096423855,-0.016163482,0.062577581,-0.007009608,0.331610937,0.113564683,0.025197998,0.028156057,0.134284631,-0.086113827,-0.05674471,0.126838996,0.036494279,0.016857553,-0.028140193,-0.06070237,0.034448323,0.070588062,0.062905258,0.07296949,0.00624107,0.091939796,0.055365297,0.063268072
Life science technicians (excluding medical),0.027416802,0.019793637,-0.008392993,-0.042280159,0.009538397,0.013782005,-0.077334181,-0.075111283,0.076653304,-0.009758962,0.093011545,-0.003946201,0.036832662,0.013047611,0.045558328,-0.006938146,-0.072089381,0.079723611,-0.007294525,-0.023645395,0.140685824,0.10388218,-0.021156548,-0.026353851,0.008866108,-0.19605659,-0.132173496,-0.143951005,-0.026346006,0.031207374,0.494262103,0.030487485,0.01763217,-0.157295025,0.036088203,0.064587952,-0.026175007,0.085772403,0.12181572,0.033251573,-0.041237631,-0.012182723,0.122121987,0.060366412,-0.001023713,0.016844697,0.007248497,0.102847327,-0.031489033,0.059642162
Medical and pathology laboratory technicians ,0.10845488,-0.043654557,-0.035080396,-0.016972534,-0.048835241,-0.016327784,-0.049321571,-0.023586066,0.160287143,-0.105516719,0.167071226,-0.044525755,0.089240194,0.05482649,-0.059156158,0.032305935,-0.141879608,0.147616232,-0.044003407,-0.017198599,0.074002955,0.128366861,0.004914575,-0.061537848,-0.008671533,-0.178144607,-0.094523384,-0.110789602,-0.137830214,-0.021520113,0.327080396,-0.070826043,-0.029586292,-0.314648628,0.045744853,0.152297918,0.068326123,0.180449361,0.261999154,0.053513297,0.0324841,-0.047792146,0.102000975,0.121218941,0.155210297,0.067282708,0.104479107,0.148799252,-0.08366666,0.08298303
Agricultural technicians,0.000949507,-0.14479084,0.036550317,-0.03667874,-0.087364271,-0.080170199,-0.160883001,-0.040756049,0.074724236,-0.091023542,0.161003825,-0.066762009,0.164988704,0.038257482,-0.061077428,0.018454409,0.044016788,0.188229092,0.065514564,-0.108913134,0.165597135,0.01327016,-0.049134779,-0.07121615,0.021480886,-0.067547069,-0.007494895,-0.146612496,-0.046963859,0.043063352,0.449871847,-0.003991344,-0.005627427,-0.119402072,0.053618421,0.162904864,-0.059608199,0.179138992,0.160747746,0.108900045,-0.101158667,-0.03228765,0.152964515,0.005812378,0.112967037,-0.012755207,-0.048175945,0.159509249,-0.053854003,-0.005755804
Forestry technicians,-0.040781165,-0.194138196,0.048445566,0.036572427,-0.100042787,-0.137829797,-0.164341192,-0.05127816,0.107783202,-0.178102358,0.185338651,-0.031496827,0.136345875,0.045191783,-0.083879882,-0.016013956,0.019565037,0.223685453,0.044005733,-0.129955846,0.144894309,0.079183141,-0.02983592,-0.100782768,0.029989872,-0.052180388,-0.022507763,-0.13894758,-0.132623947,0.011182473,0.353578185,-0.058413451,-0.025519893,-0.100924314,0.024586183,0.166960485,-0.04016295,0.099717028,0.227398138,0.107489812,-0.074551876,-0.04601295,0.176177512,0.012100867,0.119043674,-0.041368175,-0.064932305,0.190646505,-0.003285581,-0.015654413
Paramedical practitioners,-0.003503841,-0.010589325,-0.09100676,-0.102294641,-0.084687803,-0.07858213,0.050365034,0.022255976,0.081804745,-0.073499866,0.101100227,-0.003606044,0.159896645,0.012818518,-0.142668194,-0.066912659,-0.080872843,0.161948059,0.136484592,-0.026222924,0.077733543,0.187728152,0.038698866,0.03108761,0.022093498,0.058528923,-0.128621689,-0.304666054,-0.211025374,0.046574682,0.192664614,0.107746602,0.057956145,-0.119849856,0.006398964,0.150706036,-0.026168422,0.08898201,0.164812913,0.170783486,0.021178748,-0.095950807,0.076378548,0.280937472,0.165209127,-0.084252454,0.002560233,0.15429457,-0.144592321,0.059555936
Community health workers,0.054543501,0.021120614,-0.005712244,-0.069570549,-0.007903217,0.006151051,-0.159515702,-0.01257297,0.133586374,-0.095587347,0.027590416,-0.107356378,0.106499442,-0.08042897,0.006495554,-0.022733358,0.018661281,0.081292738,0.149130807,-0.058461066,0.007847772,0.084066774,-0.110194681,0.051582556,-0.031619604,-0.242565583,-0.010877007,-0.120533081,-0.064810799,0.052479107,0.612510559,0.088293833,-0.056192209,-0.150319642,-0.064245053,-0.005781984,-0.03266139,-0.066417054,0.172625834,0.04713871,-0.129735417,-0.056847871,0.072940156,0.061668254,0.086869462,0.027735185,-0.19317942,0.064855667,0.007859089,0.048762209
Medical assistants,0.00707812,-0.016821624,0.038035847,-0.094645165,-0.015183032,-0.03202395,-0.180412798,-0.005635453,0.056508198,-0.129042478,0.059873844,0.028359714,0.048352373,0.013848306,0.02059799,-0.046262148,-0.168664022,0.076456185,0.088288417,-0.055106767,0.000330588,0.18011137,-0.025800862,-0.016632774,-0.068658485,-0.208017274,-0.039944145,-0.224036147,-0.170111607,-0.042946764,0.397522481,0.094021857,-0.041790784,-0.207174113,0.113804828,0.227335867,0.081449839,0.150756066,0.243370274,0.036439751,0.034366025,0.071461004,0.022621996,0.24434901,0.077536115,-0.021773748,0.000685275,0.144283942,-0.115644935,0.128504624
Dieticians and nutritionists,0.007683727,-0.155078625,0.010765665,-0.152868381,-0.072779781,-0.010492509,-0.071099158,0.06715579,0.097557512,0.030526357,0.123923408,-0.076012545,0.169149062,0.043452511,-0.101093171,-0.057660966,0.012646512,0.016595225,0.077173175,-0.335854012,-0.180954207,0.070573873,0.127740425,0.163659557,0.021102199,0.130533151,0.00825262,-0.078864966,-0.047247214,0.003164196,-0.167547451,0.230220675,-0.051185448,-0.079743009,0.034378811,-0.136623739,-0.108430216,0.052859968,0.162171172,0.193153514,0.053372031,-0.081055262,0.093077451,0.332218301,0.288882493,-0.020421355,-0.036831002,0.201006865,-0.043927348,0.064720297
Optometrists and ophthalmic opticians,-0.053769955,-0.20222021,-0.067430013,-0.136979642,-0.200461622,0.110643079,0.119037677,-0.029032506,0.146888515,-0.014695538,0.20413092,7.15E-05,0.164465458,0.105109415,-0.291221392,0.096276463,-0.145879844,-0.025584085,0.015914271,0.007527721,0.048782989,0.110227585,-0.003419413,0.062051928,-0.202084651,0.039155805,-0.143752477,-0.101771068,-0.13886602,-0.092810987,-0.136780585,0.223660282,0.072315665,-0.007215483,0.006783509,0.10333471,0.043893589,0.065321323,0.119721702,0.009421173,0.160783452,0.133963076,0.046816768,0.239434787,0.008921045,0.007201544,0.043222141,0.108750962,-0.07194635,-0.00141523
Dispensing opticians,-0.056338515,-0.314176056,-0.06438499,-0.210262282,-0.122227979,0.017660608,0.10598668,-0.056101065,0.191832392,0.137033924,0.078284658,0.088744645,0.138952846,0.017888165,-0.192648611,0.022103569,-0.105823643,0.028720282,0.038905009,-0.065227991,0.140113254,0.139558229,0.040878172,0.039404891,-0.200549853,0.008567802,-0.116986668,-0.089608346,0.012242736,-0.010375323,-0.039461332,0.192440448,0.024654488,0.105080941,0.007462118,0.175789035,-0.017826943,0.064526243,0.129676891,0.050686784,0.228816865,0.169984946,-0.00102949,0.355897133,-0.031839992,-0.006143495,-0.022557969,0.140730482,0.002048261,-0.030770067
